submission_id,platform,campaign_type,days_live,creator_followers,avg_views_30d,video_length_sec,views,likes,comments,shares,saves,reach,avg_watch_time_sec,completion_rate,tier1_audience_pct,profile_traffic_pct,search_traffic_pct,fyp_reels_explore_pct,graph_pattern,retention_pattern,max_view_jump_pct,flatline_hours_before_jump,like_freeze_flag,late_like_spike_flag,no_matching_engagement_flag,comment_quality,suspicious_comment_pct,repeated_comment_pct,bot_like_profile_pct,views_to_avg_multiplier,like_rate,comment_rate,share_rate,engagement_rate,reach_view_ratio,fraud_risk_score,risk_level,label,decision_recommendation,likely_fraud_type,reviewer_reason,suggested_action,source_type,source_note
GEN-000011,Instagram,Finance Explainer,3,20890,3027,20,170218,607,0,86,744,34502,4.47,0.2235,0.0228,0.1019,0.117,0.71,vertical_spike_no_engagement,low_watch_time,3.8358,7,False,False,True,generic_repeated,0.8724,0.2655,0.1818,56.2332,0.003566,0.0,0.000505,0.004071,0.202693,98,Critical,botted,Reject,view_injection,large sudden view jump; views rise without matching engagement; high views with almost no comments,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000012,Instagram,Car Slideshows,9,4741,13208,30,489430,12920,153,3,2309,242778,11.7,0.4076,0.5781,0.8807,0.2346,0.0,step_like_batches,low_watch_time,2.1394,59,False,False,True,mixed,0.2669,0.2825,0.6546,37.0556,0.026398,0.000313,6e-06,0.026717,0.496042,52,High,suspicious,Reject and ask for analytics in ticket,possible_autoswipe,large sudden view jump; views rise without matching engagement,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000013,YouTube Shorts,Anime Edit,1,13390,23872,20,660505,22546,764,2,2835,128485,6.12,0.3082,0.0426,0.448,0.4105,0.2039,step_like_batches,sudden_drop,1.7956,4,False,False,False,generic_repeated,0.8744,0.5952,0.4156,27.6686,0.034134,0.001157,3e-06,0.035294,0.194525,68,High,suspicious,Reject and ask for analytics in ticket,view_injection,large sudden view jump,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000014,YouTube Shorts,Mobile Game Speedrun,1,127762,333,60,5247,84,3,11,13,2653,7.13,0.1474,0.2322,0.2204,0.4063,0.2973,late_like_spike,broken_or_missing,0.7388,61,False,True,True,emoji_spam,0.4127,0.6403,0.5899,15.7568,0.016009,0.000572,0.002096,0.018677,0.505622,41,Medium,suspicious,Needs Manual Review,fake_likes,views rise without matching engagement; late like spike,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000015,YouTube Shorts,Mobile Game Speedrun,3,2678,1151,12,45922,259,13,45,34,28310,2.41,0.24,0.419,0.091,0.2792,0.6848,step_like_batches,flat_or_odd,1.1556,24,False,False,True,unrelated,0.7918,0.2522,0.6048,39.8975,0.00564,0.000283,0.00098,0.006903,0.61648,72,High,suspicious,Reject and ask for analytics in ticket,autoclick_autoswipe,large sudden view jump; views rise without matching engagement,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000016,TikTok,Fitness Clip,8,186455,5661,20,360119,2899,0,230,2105,242238,0.37,0.0217,0.1301,0.8801,0.1414,0.0,vertical_spike_no_engagement,low_watch_time,2.6027,22,False,False,True,generic_repeated,0.8605,0.3783,0.5906,63.614,0.00805,0.0,0.000639,0.008689,0.672661,92,Critical,botted,Reject,fake_views,large sudden view jump; views rise without matching engagement; high views with almost no comments,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000017,Instagram,Travel Hook,14,57169,6944,45,214785,5960,53,389,657,91365,6.62,0.1689,0.529,0.5236,0.3176,0.1101,step_like_batches,sudden_drop,1.5393,63,False,False,True,unrelated,0.642,0.4299,0.2524,30.931,0.027749,0.000247,0.001811,0.029807,0.425379,72,High,suspicious,Reject and ask for analytics in ticket,autoclick_autoswipe,large sudden view jump; views rise without matching engagement,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000018,Instagram,Tech Gadget,9,6770,14589,45,76654,8428,780,135,158,42933,25.29,0.622,0.7623,0.0992,0.0376,0.8224,normal_viral_smooth,gradual_drop,0.1121,4,False,False,False,short_but_relevant,0.0,0.0693,0.0102,5.2542,0.109949,0.010176,0.001761,0.121885,0.560088,21,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000019,Instagram,Car Slideshows,13,2480,7868,60,499246,1090,62,496,455,263234,5.3,0.1067,0.6262,0.6936,0.4643,0.0,step_like_batches,unknown,1.5614,20,False,False,True,generic_repeated,0.7214,0.4658,0.6986,63.4527,0.002183,0.000124,0.000993,0.003301,0.527263,80,Critical,botted,Reject,autoclick_autoswipe,large sudden view jump; views rise without matching engagement,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000020,TikTok,Travel Hook,13,12547,163,45,8124,186,8,11,33,2675,12.22,0.2791,0.3198,0.869,0.4233,0.0,step_like_batches,sudden_drop,0.8194,47,False,False,True,generic_repeated,0.7893,0.3404,0.6283,49.8405,0.022895,0.000985,0.001354,0.025234,0.329271,73,High,suspicious,Reject and ask for analytics in ticket,possible_autoswipe,views rise without matching engagement,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000021,TikTok,Car Slideshows,14,426799,2331,30,9378,305,2,16,44,3614,8.53,0.2857,0.4179,0.4995,0.1233,0.3385,late_like_spike,low_watch_time,0.3025,78,False,True,True,mixed,0.1,0.0857,0.554,4.0232,0.032523,0.000213,0.001706,0.034442,0.38537,53,High,suspicious,Reject and ask for analytics in ticket,possible_engagement_pod,views rise without matching engagement; late like spike,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000022,Instagram,Tech Gadget,8,328,974,12,83358,743,0,85,309,58819,1.17,0.0972,0.5604,0.8801,0.0109,0.1814,flat_then_spike,broken_or_missing,1.8072,27,False,False,True,none,0.6792,0.333,0.5422,85.5832,0.008913,0.0,0.00102,0.009933,0.705619,90,Critical,botted,Reject,possible_fake_boost,large sudden view jump; views rise without matching engagement; high views with almost no comments,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000023,YouTube Shorts,AI App Demo,9,16496,597,15,3027,148,18,29,16,2186,9.83,0.668,0.7742,0.0722,0.032,0.8431,smooth_gradual,strong_retention,0.2465,4,False,False,False,short_but_relevant,0.0,0.0783,0.0195,5.0704,0.048893,0.005946,0.00958,0.06442,0.722167,6,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000024,Instagram,Tech Gadget,5,1814,1088,20,115902,524,0,2,598,58249,1.0,0.0587,0.713,0.6002,0.3817,0.0,flat_then_spike,unknown,3.0081,55,False,False,True,none,0.3506,0.3488,0.6306,106.5276,0.004521,0.0,1.7e-05,0.004538,0.502571,92,Critical,botted,Reject,fake_boost,large sudden view jump; views rise without matching engagement; high views with almost no comments,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000025,Instagram,Travel Hook,9,8174,4187,60,737661,5481,35,27,4292,156640,7.97,0.1632,0.2345,0.8509,0.521,0.0,vertical_spike_no_engagement,very_low_watch_time,2.304,90,False,False,True,none,0.8298,0.2833,0.4804,176.1789,0.00743,4.7e-05,3.7e-05,0.007514,0.212347,93,Critical,botted,Reject,fake_views,large sudden view jump; views rise without matching engagement,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000026,Instagram,Finance Explainer,5,10865,2158,30,114794,1912,128,230,500,40446,5.18,0.2123,0.4105,0.8338,0.5376,0.0,step_like_batches,sudden_drop,0.9733,90,False,False,False,emoji_spam,0.8167,0.4458,0.704,53.1946,0.016656,0.001115,0.002004,0.019775,0.352335,51,High,suspicious,Reject and ask for analytics in ticket,view_injection,metrics and graph pattern move proportionally,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000027,Instagram,Car Slideshows,13,1373,20176,30,667497,3535,0,603,1339,500065,6.0,0.2089,0.627,0.5632,0.3316,0.0631,likes_freeze,unknown,0.5045,67,True,False,True,unrelated,0.7701,0.1067,0.5336,33.0837,0.005296,0.0,0.000903,0.006199,0.749164,97,Critical,botted,Reject,possible_engagement_pod,views rise without matching engagement; high views with almost no comments; likes freeze while views increase,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000028,YouTube Shorts,Anime Edit,6,6053,41776,12,281757,17127,1863,2198,182,222716,3.7,0.3683,0.5113,0.132,0.175,0.7325,smooth_gradual,strong_retention,0.0967,3,False,False,False,short_but_relevant,0.0,0.0137,0.0951,6.7445,0.060786,0.006612,0.007801,0.0752,0.790454,19,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000029,TikTok,Anime Edit,4,2225,10836,15,62111,1891,342,602,27,38715,6.66,0.5513,0.6353,0.1669,0.0661,0.7042,smooth_gradual,gradual_drop,0.3028,2,False,False,False,relevant_discussion,0.0,0.0813,0.0205,5.7319,0.030445,0.005506,0.009692,0.045644,0.62332,16,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000030,TikTok,Travel Hook,5,1588,80028,20,107834,3248,105,211,550,92942,10.03,0.632,0.7344,0.0576,0.1394,0.8757,normal_viral_smooth,gradual_drop,0.1746,4,False,False,False,short_but_relevant,0.0,0.0016,0.1186,1.3475,0.03012,0.000974,0.001957,0.033051,0.861899,11,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000031,YouTube Shorts,Anime Edit,14,2123,13737,20,470648,4009,0,148,1167,83708,0.25,0.016,0.3859,0.2693,0.4665,0.3213,late_like_spike,broken_or_missing,0.558,90,False,True,True,none,0.7414,0.2307,0.236,34.2613,0.008518,0.0,0.000314,0.008833,0.177857,92,Critical,botted,Reject,possible_engagement_pod,views rise without matching engagement; high views with almost no comments; late like spike,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000032,YouTube Shorts,Mobile Game Speedrun,10,2249,6318,20,45877,1662,466,419,105,41595,10.96,0.6097,0.8962,0.0594,0.115,0.8901,normal_viral_smooth,gradual_drop,0.1489,4,False,False,False,relevant_discussion,0.0,0.0669,0.0805,7.2613,0.036227,0.010158,0.009133,0.055518,0.906663,12,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000033,YouTube Shorts,Fitness Clip,13,1091,25134,20,112009,9367,752,1069,546,82106,10.65,0.6099,0.7814,0.0392,0.0698,0.8171,normal_viral_smooth,strong_retention,0.3203,4,False,False,False,relevant_discussion,0.0,0.062,0.071,4.4565,0.083627,0.006714,0.009544,0.099885,0.73303,20,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000034,YouTube Shorts,Mobile Game Speedrun,3,43884,2443,15,17310,1529,192,51,18,16485,4.68,0.3498,0.8006,0.1149,0.1392,0.7225,normal_viral_smooth,strong_retention,0.4171,1,False,False,False,short_but_relevant,0.0,0.0955,0.0063,7.0856,0.08833,0.011092,0.002946,0.102369,0.95234,19,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000035,YouTube Shorts,Tech Gadget,7,155,3816,15,74955,1141,97,13,102,53733,7.45,0.4791,0.2298,0.6244,0.0499,0.3851,flat_then_spike,sudden_drop,2.3047,40,False,False,True,emoji_spam,0.7444,0.5089,0.3499,19.6423,0.015222,0.001294,0.000173,0.01669,0.71687,59,High,suspicious,Reject and ask for analytics in ticket,needs_analytics,large sudden view jump; views rise without matching engagement,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000036,YouTube Shorts,Anime Edit,3,959,4375,12,228083,5533,218,374,411,117651,2.0,0.1767,0.5596,0.8507,0.2035,0.0,step_like_batches,broken_or_missing,2.1999,45,False,False,True,unrelated,0.2205,0.3225,0.671,52.1333,0.024259,0.000956,0.00164,0.026854,0.515825,43,Medium,suspicious,Needs Manual Review,possible_autoswipe,large sudden view jump; views rise without matching engagement,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000037,YouTube Shorts,Car Slideshows,2,1670,29102,60,42127,1126,289,187,114,27930,27.13,0.5602,0.7169,0.113,0.2063,0.6726,normal_viral_smooth,gradual_drop,0.3676,3,False,False,False,relevant_discussion,0.0,0.0796,0.016,1.4476,0.026729,0.00686,0.004439,0.038028,0.662995,6,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000038,YouTube Shorts,Anime Edit,5,36448,2169,20,173144,1301,57,73,500,94874,4.99,0.2572,0.1946,0.5781,0.2411,0.1684,vertical_spike_no_engagement,low_watch_time,3.2002,42,False,False,True,none,0.3568,0.0858,0.4057,79.8266,0.007514,0.000329,0.000422,0.008265,0.547949,86,Critical,botted,Reject,view_injection,large sudden view jump; views rise without matching engagement,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000039,TikTok,Anime Edit,2,20974,40233,12,187231,21290,747,1005,854,175302,6.64,0.59,0.7454,0.1286,0.1741,0.6784,normal_viral_smooth,strong_retention,0.1756,2,False,False,False,short_but_relevant,0.0,0.0152,0.031,4.6537,0.11371,0.00399,0.005368,0.123067,0.936287,14,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000040,YouTube Shorts,Anime Edit,13,1191,44035,15,284710,15054,1905,662,1118,250106,11.7,0.7393,0.438,0.1363,0.051,0.7925,smooth_gradual,gradual_drop,0.2192,1,False,False,False,relevant_discussion,0.0,0.0567,0.0494,6.4655,0.052875,0.006691,0.002325,0.061891,0.878459,23,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000041,TikTok,Fitness Clip,1,2898,25056,20,106345,7459,395,574,261,65355,8.25,0.44,0.854,0.0611,0.0808,0.8431,smooth_gradual,strong_retention,0.3413,4,False,False,False,short_but_relevant,0.0,0.0201,0.0067,4.2443,0.07014,0.003714,0.005398,0.079251,0.614556,16,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000042,TikTok,Fitness Clip,13,14146,102588,12,2153758,18728,371,2020,3950,1106693,1.73,0.1438,0.2696,0.1873,0.5175,0.3477,likes_freeze,unknown,0.8596,52,True,False,True,unrelated,0.3976,0.0711,0.209,20.9942,0.008695,0.000172,0.000938,0.009806,0.513843,95,Critical,botted,Reject,possible_fake_views,views rise without matching engagement; likes freeze while views increase,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000043,TikTok,Travel Hook,4,5401,3209,15,15723,1165,110,108,56,11436,9.02,0.6385,0.4488,0.1349,0.1251,0.7482,normal_viral_smooth,strong_retention,0.3089,3,False,False,False,relevant_discussion,0.0,0.0313,0.119,4.8997,0.074095,0.006996,0.006869,0.08796,0.727342,7,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000044,YouTube Shorts,Travel Hook,9,10365,36676,45,1500000,39947,2401,2746,2153,259893,9.12,0.2592,0.1385,0.0995,0.1801,0.7955,likes_freeze,sudden_drop,1.1576,67,True,False,False,unrelated,0.6283,0.6115,0.6899,40.8987,0.026631,0.001601,0.001831,0.030063,0.173262,39,Medium,suspicious,Needs Manual Review,possible_fake_views,large sudden view jump; likes freeze while views increase,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000045,YouTube Shorts,Tech Gadget,2,94203,6878,30,300394,8816,217,465,226,169837,10.68,0.4151,0.4165,0.2704,0.0765,0.6793,flat_then_spike,low_watch_time,2.9263,65,False,False,True,generic_repeated,0.7633,0.2541,0.1668,43.6746,0.029348,0.000722,0.001548,0.031618,0.565381,45,Medium,suspicious,Needs Manual Review,fake_boost,large sudden view jump; views rise without matching engagement,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000046,TikTok,AI App Demo,9,14733,15877,60,97500,4899,255,402,559,77176,29.67,0.624,0.6855,0.1044,0.2343,0.6472,smooth_gradual,strong_retention,0.2912,0,False,False,False,short_but_relevant,0.0,0.0208,0.0235,6.141,0.050246,0.002615,0.004123,0.056985,0.791549,10,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000047,Instagram,Anime Edit,9,4719,20252,15,403463,3400,99,272,2097,115106,2.31,0.1839,0.4654,0.1196,0.235,0.593,vertical_spike_no_engagement,unknown,1.8792,17,False,False,True,none,0.3404,0.4154,0.7257,19.9221,0.008427,0.000245,0.000674,0.009347,0.285295,87,Critical,botted,Reject,fake_views,large sudden view jump; views rise without matching engagement,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000048,YouTube Shorts,Anime Edit,6,27240,3385,45,5032,604,39,6,29,4668,23.24,0.5735,0.8977,0.1235,0.1382,0.722,smooth_gradual,gradual_drop,0.1676,2,False,False,False,relevant_discussion,0.0,0.0852,0.0392,1.4866,0.120032,0.00775,0.001192,0.128975,0.927663,12,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000049,Instagram,Anime Edit,2,39658,3651,30,639147,5232,0,762,3227,459578,6.28,0.2354,0.0596,0.5044,0.2258,0.2094,late_like_spike,unknown,0.9784,46,False,True,True,emoji_spam,0.6037,0.4963,0.5675,175.0608,0.008186,0.0,0.001192,0.009378,0.719049,94,Critical,botted,Reject,fake_likes,views rise without matching engagement; high views with almost no comments; late like spike,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000050,YouTube Shorts,Travel Hook,6,31807,19475,30,232505,3130,183,429,1018,158948,13.56,0.4422,0.1531,0.3374,0.5618,0.1165,likes_freeze,low_watch_time,1.3764,14,True,False,True,mixed,0.274,0.5264,0.438,11.9386,0.013462,0.000787,0.001845,0.016094,0.683633,39,Medium,suspicious,Needs Manual Review,possible_fake_views,large sudden view jump; views rise without matching engagement; likes freeze while views increase,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000051,YouTube Shorts,Mobile Game Speedrun,5,57028,677,45,34228,331,0,0,31,13362,9.19,0.2348,0.3193,0.5722,0.1813,0.2357,likes_freeze,broken_or_missing,1.3806,12,True,False,True,unrelated,0.547,0.1065,0.7064,50.5583,0.00967,0.0,0.0,0.00967,0.390382,94,Critical,botted,Reject,possible_engagement_pod,large sudden view jump; views rise without matching engagement; high views with almost no comments; likes freeze while views increase,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000052,YouTube Shorts,AI App Demo,10,5526,1775,30,334501,1137,2,57,1695,50156,4.29,0.1395,0.4923,0.7793,0.1643,0.0565,vertical_spike_no_engagement,very_low_watch_time,3.7441,41,False,False,True,none,0.7958,0.2171,0.5169,188.4513,0.003399,6e-06,0.00017,0.003575,0.149943,83,Critical,botted,Reject,autoclick_autoswipe,large sudden view jump; views rise without matching engagement; high views with almost no comments,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000053,YouTube Shorts,Anime Edit,9,311,16562,30,800688,16732,1335,1777,3579,588461,2.71,0.1044,0.2596,0.3166,0.4905,0.1202,likes_freeze,broken_or_missing,1.0914,86,True,False,False,mixed,0.2454,0.507,0.4586,48.3449,0.020897,0.001667,0.002219,0.024784,0.734944,74,High,suspicious,Reject and ask for analytics in ticket,fake_likes,large sudden view jump; likes freeze while views increase,Reject and ask for analytics in ticket.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000054,Instagram,Travel Hook,6,1062,4809,20,253901,733,0,268,99,98099,2.16,0.1151,0.4124,0.2648,0.1227,0.661,late_like_spike,unknown,0.5876,77,False,True,True,generic_repeated,0.7485,0.1015,0.5981,52.797,0.002887,0.0,0.001056,0.003942,0.386367,85,Critical,botted,Reject,fake_likes,views rise without matching engagement; high views with almost no comments; late like spike,Reject; escalate only if analytics confirms deliberate botting.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
GEN-000055,YouTube Shorts,Fitness Clip,7,3137,8413,45,49834,1648,95,395,247,48622,27.13,0.5488,0.5467,0.0392,0.2146,0.7328,normal_viral_smooth,gradual_drop,0.1196,2,False,False,False,relevant_discussion,0.0,0.0373,0.0418,5.9235,0.03307,0.001906,0.007926,0.042902,0.975679,19,Low,clean,Approve / monitor later,none,metrics and graph pattern move proportionally,Approve but monitor later.,synthetic_generated,Generated supplemental training example. Not production validation evidence.
